name,region,difficulty,altitude_m,duration_days,best_months,estimated_cost_inr,description,rating,gear_required
Kedarkantha,Uttarakhand,Easy,3810,6,Dec-Feb,5000,Snow trek ideal for beginners,4.3,Beginner Gear
Har Ki Dun,Uttarakhand,Easy,3566,7,Apr-Jun,6000,Valley trek with scenic views,3.9,Beginner Gear
Valley of Flowers,Uttarakhand,Easy,3658,5,Jul-Sep,4000,Famous for alpine flowers,4.9,Beginner Gear
Roopkund,Uttarakhand,Moderate,5029,8,May-Jun,9000,Mystery lake trek,4.0,Beginner Gear
Brahmatal,Uttarakhand,Easy,3735,6,Dec-Feb,6000,Winter trek with lake views,4.6,Beginner Gear
Kuari Pass,Uttarakhand,Easy,3814,6,Dec-Mar,7000,Lord Curzon trail,4.3,Beginner Gear
Nag Tibba,Uttarakhand,Easy,3022,2,All,2500,Weekend trek,3.8,Beginner Gear
Gaumukh Tapovan,Uttarakhand,Moderate,4463,8,May-Jun,10000,Source of Ganga,4.7,Beginner Gear
Pindari Glacier,Uttarakhand,Moderate,3660,7,Apr-Jun,8000,Glacier trek,4.6,Beginner Gear
Dodital,Uttarakhand,Easy,3310,5,Mar-Jun,5000,Lake trek,4.1,Beginner Gear
Triund,Himachal,Easy,2850,2,All,2000,Popular beginner trek,4.5,Beginner Gear
Hampta Pass,Himachal,Moderate,4270,5,Jun-Sep,8000,Crossover trek,4.8,Beginner Gear
Bhrigu Lake,Himachal,Moderate,4300,4,May-Oct,7000,High altitude lake,4.5,Beginner Gear
Beas Kund,Himachal,Easy,3700,3,May-Oct,5000,Origin of Beas river,4.9,Beginner Gear
Pin Parvati Pass,Himachal,Difficult,5319,10,Jul-Sep,15000,Challenging trek,4.4,Professional Gear
Kheerganga,Himachal,Easy,2950,2,All,3000,Hot springs trek,4.3,Beginner Gear
Indrahar Pass,Himachal,Moderate,4342,5,May-Oct,8000,Dhauladhar range,4.2,Beginner Gear
Kareri Lake,Himachal,Easy,2934,3,Apr-Jun,4000,Lake trek,4.1,Beginner Gear
Sar Pass,Himachal,Moderate,4220,5,May-Jun,7000,Snow trek,4.6,Beginner Gear
Chandrakhani Pass,Himachal,Moderate,3660,4,May-Oct,6000,Panoramic views,4.7,Beginner Gear
Tarsar Marsar,Jammu & Kashmir,Moderate,4000,7,Jul-Sep,12000,Twin lakes trek,4.0,Beginner Gear
Kashmir Great Lakes,Jammu & Kashmir,Moderate,4200,8,Jul-Sep,14000,Most scenic trek,4.8,Beginner Gear
Markha Valley,Jammu & Kashmir,Moderate,5260,9,Jun-Sep,15000,Ladakh trek,4.6,Beginner Gear
Stok Kangri,Jammu & Kashmir,Difficult,6153,10,Jun-Sep,20000,Peak climb,4.9,Professional Gear
Naranag Gangabal,Jammu & Kashmir,Moderate,3570,6,Jul-Sep,10000,Alpine lakes,3.9,Beginner Gear
Ladakh Sham Valley,Jammu & Kashmir,Easy,3800,3,May-Sep,7000,Beginner Ladakh trek,3.9,Beginner Gear
Chadar Trek,Jammu & Kashmir,Difficult,3390,9,Jan-Feb,18000,Frozen river trek,3.9,Professional Gear
Lamayuru Alchi,Jammu & Kashmir,Easy,3850,4,May-Sep,8000,Cultural trek,3.9,Beginner Gear
Hemis to Tso Moriri,Jammu & Kashmir,Difficult,5430,12,Jun-Sep,20000,Remote trek,4.0,Professional Gear
Rumtse Tso Moriri,Jammu & Kashmir,Difficult,5000,9,Jun-Sep,18000,High altitude trek,4.5,Professional Gear
Goechala,Sikkim,Moderate,4940,10,Apr-Jun,15000,Kanchenjunga views,3.8,Beginner Gear
Dzongri Trek,Sikkim,Moderate,4020,7,Apr-Jun,12000,Short Goechala variant,3.9,Beginner Gear
Sandakphu,Sikkim,Easy,3636,6,Oct-Apr,8000,Everest view trek,4.3,Beginner Gear
Singalila Ridge,Sikkim,Moderate,3700,7,Oct-Apr,9000,Ridge trek,4.2,Beginner Gear
Kanchenjunga Base Camp,Sikkim,Difficult,5143,12,Apr-May,20000,Remote trek,3.9,Professional Gear
Green Lake Trek,Sikkim,Difficult,5050,10,Apr-May,18000,Close Kanchenjunga view,4.1,Professional Gear
Tholung Trek,Sikkim,Moderate,4000,8,Mar-May,14000,Monastery trail,4.8,Beginner Gear
Barsey Rhododendron,Sikkim,Easy,3000,3,Mar-Apr,5000,Flower trek,4.8,Beginner Gear
Yuksom Dzongri,Sikkim,Moderate,4020,6,Apr-Jun,12000,Popular route,4.7,Beginner Gear
Lhaba Tarum Tsachu,Sikkim,Difficult,5000,9,May-Jun,17000,Hot springs trek,4.0,Professional Gear
